广酒源丨体育,#genre#
星空卫视,http://159.75.85.63:8765/telegram@feiyangdigital-xingkong.m3u8
广东体育,http://159.75.85.63:8765/telegram@feiyangdigital-gdty.m3u8 
翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8 
明珠台,http://159.75.85.63:8765/telegram@feiyangdigital-mingzhu.m3u8 
CCTV4K,http://159.75.85.63:8765/telegram@feiyangdigital-cctv4k.m3u8 
CCTV16-4K,http://159.75.85.63:8765/telegram@feiyangdigital-cctv16-4k.m3u8 
广东综艺4K,http://159.75.85.63:8765/telegram@feiyangdigital-gdzy4k.m3u8
纬来体育60fps,http://210.66.77.8:12688/VideoInput/play.ts
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
爱尔达体育1台 HD,http://www.best336699.com:1935/besttv/IR11.stream/playlist.m3u8
爱尔达体育2台 HD,http://www.best336699.com:1935/besttv/IR22.stream/playlist.m3u8
爱尔达体育3台 HD,http://www.best336699.com:1935/besttv/IR33.stream/playlist.m3u8
纬来体育台[1920*1080],http://198.16.64.10:8278/videolandsport/playlist.m3u8?tid=MF0F9609085796090857&ct=19254&tsum=6bf853a68e195475b4892428199568c7
新视觉[1920*1080],http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
魅力足球[1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
魅力足球[1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8?zshangd
超级体育[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
新视觉体育[1920*1080],http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球体育[1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
极速汽车体育[1920*1080],http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
CCTV5[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5[1920*1080],http://111.59.189.40:8445/tsfile/live/0113_1.m3u8
CCTV5+[1920*1080],http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
CCTV5+[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+[1920*1080],http://39.135.138.59:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV5+[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
新视觉[1920*1080],http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
新视觉[1920*1080],http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
魅力足球[1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8?zshangd
新视觉体育[1920*1080],http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球体育[1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
极速汽车体育[1920*1080],http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
纬来体育1080p30fps,http://198.16.64.10:8278/videolandsport/playlist.m3u8?tid=MA6A1192684511926845&ct=19226&tsum=0b7ca9a61e7371df68108a27dc358c68

萌兔丨央卫视,#genre#
CCTV4K,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV16-4K,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv16hd4k/15000000/mnf.m3u8
欢笑剧场4k,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/hxjc4k/15000000/mnf.m3u8
CCTV1 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+ 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV17 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
江苏卫视 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视 8M,http://223.109.123.15/liveplay-kk.rtxapp.com/live/program/live/gxwshd8m/8000000/mnf.m3u8
